Date,Bitcoin
2017-01-29,4
2017-01-30,4
2017-01-31,4
2017-02-01,4
2017-02-02,4
2017-02-03,4
2017-02-04,4
2017-02-05,4
2017-02-06,4
2017-02-07,4
2017-02-08,4
2017-02-09,4
2017-02-10,4
2017-02-11,4
2017-02-12,4
2017-02-13,4
2017-02-14,4
2017-02-15,4
2017-02-16,4
2017-02-17,4
2017-02-18,4
2017-02-19,5
2017-02-20,5
2017-02-21,5
2017-02-22,5
2017-02-23,5
2017-02-24,5
2017-02-25,5
2017-02-26,6
2017-02-27,6
2017-02-28,6
2017-03-01,6
2017-03-02,6
2017-03-03,6
2017-03-04,6
2017-03-05,7
2017-03-06,7
2017-03-07,7
2017-03-08,7
2017-03-09,7
2017-03-10,7
2017-03-11,7
2017-03-12,5
2017-03-13,5
2017-03-14,5
2017-03-15,5
2017-03-16,5
2017-03-17,5
2017-03-18,5
2017-03-19,5
2017-03-20,5
2017-03-21,5
2017-03-22,5
2017-03-23,5
2017-03-24,5
2017-03-25,5
2017-03-26,5
2017-03-27,5
2017-03-28,5
2017-03-29,5
2017-03-30,5
2017-03-31,5
2017-04-01,5
2017-04-02,5
2017-04-03,5
2017-04-04,5
2017-04-05,5
2017-04-06,5
2017-04-07,5
2017-04-08,5
2017-04-09,5
2017-04-10,5
2017-04-11,5
2017-04-12,5
2017-04-13,5
2017-04-14,5
2017-04-15,5
2017-04-16,5
2017-04-17,5
2017-04-18,5
2017-04-19,5
2017-04-20,5
2017-04-21,5
2017-04-22,5
2017-04-23,5
2017-04-24,5
2017-04-25,5
2017-04-26,5
2017-04-27,5
2017-04-28,5
2017-04-29,5
2017-04-30,7
2017-05-01,7
2017-05-02,7
2017-05-03,7
2017-05-04,7
2017-05-05,7
2017-05-06,7
2017-05-07,10
2017-05-08,10
2017-05-09,10
2017-05-10,10
2017-05-11,10
2017-05-12,10
2017-05-13,10
2017-05-14,11
2017-05-15,11
2017-05-16,11
2017-05-17,11
2017-05-18,11
2017-05-19,11
2017-05-20,11
2017-05-21,19
2017-05-22,19
2017-05-23,19
2017-05-24,19
2017-05-25,19
2017-05-26,19
2017-05-27,19
2017-05-28,12
2017-05-29,12
2017-05-30,12
2017-05-31,12
2017-06-01,12
2017-06-02,12
2017-06-03,12
2017-06-04,12
2017-06-05,12
2017-06-06,12
2017-06-07,12
2017-06-08,12
2017-06-09,12
2017-06-10,12
2017-06-11,13
2017-06-12,13
2017-06-13,13
2017-06-14,13
2017-06-15,13
2017-06-16,13
2017-06-17,13
2017-06-18,11
2017-06-19,11
2017-06-20,11
2017-06-21,11
2017-06-22,11
2017-06-23,11
2017-06-24,11
2017-06-25,11
2017-06-26,11
2017-06-27,11
2017-06-28,11
2017-06-29,11
2017-06-30,11
2017-07-01,11
2017-07-02,9
2017-07-03,9
2017-07-04,9
2017-07-05,9
2017-07-06,9
2017-07-07,9
2017-07-08,9
2017-07-09,10
2017-07-10,10
2017-07-11,10
2017-07-12,10
2017-07-13,10
2017-07-14,10
2017-07-15,10
2017-07-16,11
2017-07-17,11
2017-07-18,11
2017-07-19,11
2017-07-20,11
2017-07-21,11
2017-07-22,11
2017-07-23,10
2017-07-24,10
2017-07-25,10
2017-07-26,10
2017-07-27,10
2017-07-28,10
2017-07-29,10
2017-07-30,15
2017-07-31,15
2017-08-01,15
2017-08-02,15
2017-08-03,15
2017-08-04,15
2017-08-05,15
2017-08-06,14
2017-08-07,14
2017-08-08,14
2017-08-09,14
2017-08-10,14
2017-08-11,14
2017-08-12,14
2017-08-13,20
2017-08-14,20
2017-08-15,20
2017-08-16,20
2017-08-17,20
2017-08-18,20
2017-08-19,20
2017-08-20,16
2017-08-21,16
2017-08-22,16
2017-08-23,16
2017-08-24,16
2017-08-25,16
2017-08-26,16
2017-08-27,16
2017-08-28,16
2017-08-29,16
2017-08-30,16
2017-08-31,16
2017-09-01,16
2017-09-02,16
2017-09-03,18
2017-09-04,18
2017-09-05,18
2017-09-06,18
2017-09-07,18
2017-09-08,18
2017-09-09,18
2017-09-10,21
2017-09-11,21
2017-09-12,21
2017-09-13,21
2017-09-14,21
2017-09-15,21
2017-09-16,21
2017-09-17,15
2017-09-18,15
2017-09-19,15
2017-09-20,15
2017-09-21,15
2017-09-22,15
2017-09-23,15
2017-09-24,12
2017-09-25,12
2017-09-26,12
2017-09-27,12
2017-09-28,12
2017-09-29,12
2017-09-30,12
2017-10-01,12
2017-10-02,12
2017-10-03,12
2017-10-04,12
2017-10-05,12
2017-10-06,12
2017-10-07,12
2017-10-08,19
2017-10-09,19
2017-10-10,19
2017-10-11,19
2017-10-12,19
2017-10-13,19
2017-10-14,19
2017-10-15,20
2017-10-16,20
2017-10-17,20
2017-10-18,20
2017-10-19,20
2017-10-20,20
2017-10-21,20
2017-10-22,20
2017-10-23,20
2017-10-24,20
2017-10-25,20
2017-10-26,20
2017-10-27,20
2017-10-28,20
2017-10-29,27
2017-10-30,27
2017-10-31,27
2017-11-01,27
2017-11-02,27
2017-11-03,27
2017-11-04,27
2017-11-05,28
2017-11-06,28
2017-11-07,28
2017-11-08,28
2017-11-09,28
2017-11-10,28
2017-11-11,28
2017-11-12,31
2017-11-13,31
2017-11-14,31
2017-11-15,31
2017-11-16,31
2017-11-17,31
2017-11-18,31
2017-11-19,27
2017-11-20,27
2017-11-21,27
2017-11-22,27
2017-11-23,27
2017-11-24,27
2017-11-25,27
2017-11-26,64
2017-11-27,64
2017-11-28,64
2017-11-29,64
2017-11-30,64
2017-12-01,64
2017-12-02,64
2017-12-03,90
2017-12-04,90
2017-12-05,90
2017-12-06,90
2017-12-07,90
2017-12-08,90
2017-12-09,90
2017-12-10,84
2017-12-11,84
2017-12-12,84
2017-12-13,84
2017-12-14,84
2017-12-15,84
2017-12-16,84
2017-12-17,100
2017-12-18,100
2017-12-19,100
2017-12-20,100
2017-12-21,100
2017-12-22,100
2017-12-23,100
2017-12-24,60
2017-12-25,60
2017-12-26,60
2017-12-27,60
2017-12-28,60
2017-12-29,60
2017-12-30,60
2017-12-31,47
2018-01-01,47
2018-01-02,47
2018-01-03,47
2018-01-04,47
2018-01-05,47
2018-01-06,47
2018-01-07,44
2018-01-08,44
2018-01-09,44
2018-01-10,44
2018-01-11,44
2018-01-12,44
2018-01-13,44
2018-01-14,56
2018-01-15,56
2018-01-16,56
2018-01-17,56
2018-01-18,56
2018-01-19,56
2018-01-20,56
2018-01-21,37
2018-01-22,37
2018-01-23,37
2018-01-24,37
2018-01-25,37
2018-01-26,37
2018-01-27,37
2018-01-28,40
2018-01-29,40
2018-01-30,40
2018-01-31,40
2018-02-01,40
2018-02-02,40
2018-02-03,40
2018-02-04,48
2018-02-05,48
2018-02-06,48
2018-02-07,48
2018-02-08,48
2018-02-09,48
2018-02-10,48
2018-02-11,27
2018-02-12,27
2018-02-13,27
2018-02-14,27
2018-02-15,27
2018-02-16,27
2018-02-17,27
2018-02-18,24
2018-02-19,24
2018-02-20,24
2018-02-21,24
2018-02-22,24
2018-02-23,24
2018-02-24,24
2018-02-25,19
2018-02-26,19
2018-02-27,19
2018-02-28,19
2018-03-01,19
2018-03-02,19
2018-03-03,19
2018-03-04,18
2018-03-05,18
2018-03-06,18
2018-03-07,18
2018-03-08,18
2018-03-09,18
2018-03-10,18
2018-03-11,19
2018-03-12,19
2018-03-13,19
2018-03-14,19
2018-03-15,19
2018-03-16,19
2018-03-17,19
2018-03-18,18
2018-03-19,18
2018-03-20,18
2018-03-21,18
2018-03-22,18
2018-03-23,18
2018-03-24,18
2018-03-25,18
2018-03-26,18
2018-03-27,18
2018-03-28,18
2018-03-29,18
2018-03-30,18
2018-03-31,18
2018-04-01,17
2018-04-02,17
2018-04-03,17
2018-04-04,17
2018-04-05,17
2018-04-06,17
2018-04-07,17
2018-04-08,15
2018-04-09,15
2018-04-10,15
2018-04-11,15
2018-04-12,15
2018-04-13,15
2018-04-14,15
2018-04-15,14
2018-04-16,14
2018-04-17,14
2018-04-18,14
2018-04-19,14
2018-04-20,14
2018-04-21,14
2018-04-22,14
2018-04-23,14
2018-04-24,14
2018-04-25,14
2018-04-26,14
2018-04-27,14
2018-04-28,14
2018-04-29,12
2018-04-30,12
2018-05-01,12
2018-05-02,12
2018-05-03,12
2018-05-04,12
2018-05-05,12
2018-05-06,13
2018-05-07,13
2018-05-08,13
2018-05-09,13
2018-05-10,13
2018-05-11,13
2018-05-12,13
2018-05-13,11
2018-05-14,11
2018-05-15,11
2018-05-16,11
2018-05-17,11
2018-05-18,11
2018-05-19,11
2018-05-20,11
2018-05-21,11
2018-05-22,11
2018-05-23,11
2018-05-24,11
2018-05-25,11
2018-05-26,11
2018-05-27,10
2018-05-28,10
2018-05-29,10
2018-05-30,10
2018-05-31,10
2018-06-01,10
2018-06-02,10
2018-06-03,9
2018-06-04,9
2018-06-05,9
2018-06-06,9
2018-06-07,9
2018-06-08,9
2018-06-09,9
2018-06-10,12
2018-06-11,12
2018-06-12,12
2018-06-13,12
2018-06-14,12
2018-06-15,12
2018-06-16,12
2018-06-17,10
2018-06-18,10
2018-06-19,10
2018-06-20,10
2018-06-21,10
2018-06-22,10
2018-06-23,10
2018-06-24,11
2018-06-25,11
2018-06-26,11
2018-06-27,11
2018-06-28,11
2018-06-29,11
2018-06-30,11
2018-07-01,10
2018-07-02,10
2018-07-03,10
2018-07-04,10
2018-07-05,10
2018-07-06,10
2018-07-07,10
2018-07-08,9
2018-07-09,9
2018-07-10,9
2018-07-11,9
2018-07-12,9
2018-07-13,9
2018-07-14,9
2018-07-15,11
2018-07-16,11
2018-07-17,11
2018-07-18,11
2018-07-19,11
2018-07-20,11
2018-07-21,11
2018-07-22,11
2018-07-23,11
2018-07-24,11
2018-07-25,11
2018-07-26,11
2018-07-27,11
2018-07-28,11
2018-07-29,10
2018-07-30,10
2018-07-31,10
2018-08-01,10
2018-08-02,10
2018-08-03,10
2018-08-04,10
2018-08-05,11
2018-08-06,11
2018-08-07,11
2018-08-08,11
2018-08-09,11
2018-08-10,11
2018-08-11,11
2018-08-12,11
2018-08-13,11
2018-08-14,11
2018-08-15,11
2018-08-16,11
2018-08-17,11
2018-08-18,11
2018-08-19,10
2018-08-20,10
2018-08-21,10
2018-08-22,10
2018-08-23,10
2018-08-24,10
2018-08-25,10
2018-08-26,9
2018-08-27,9
2018-08-28,9
2018-08-29,9
2018-08-30,9
2018-08-31,9
2018-09-01,9
2018-09-02,11
2018-09-03,11
2018-09-04,11
2018-09-05,11
2018-09-06,11
2018-09-07,11
2018-09-08,11
2018-09-09,10
2018-09-10,10
2018-09-11,10
2018-09-12,10
2018-09-13,10
2018-09-14,10
2018-09-15,10
2018-09-16,9
2018-09-17,9
2018-09-18,9
2018-09-19,9
2018-09-20,9
2018-09-21,9
2018-09-22,9
2018-09-23,8
2018-09-24,8
2018-09-25,8
2018-09-26,8
2018-09-27,8
2018-09-28,8
2018-09-29,8
2018-09-30,8
2018-10-01,8
2018-10-02,8
2018-10-03,8
2018-10-04,8
2018-10-05,8
2018-10-06,8
2018-10-07,8
2018-10-08,8
2018-10-09,8
2018-10-10,8
2018-10-11,8
2018-10-12,8
2018-10-13,8
2018-10-14,8
2018-10-15,8
2018-10-16,8
2018-10-17,8
2018-10-18,8
2018-10-19,8
2018-10-20,8
2018-10-21,7
2018-10-22,7
2018-10-23,7
2018-10-24,7
2018-10-25,7
2018-10-26,7
2018-10-27,7
2018-10-28,7
2018-10-29,7
2018-10-30,7
2018-10-31,7
2018-11-01,7
2018-11-02,7
2018-11-03,7
2018-11-04,8
2018-11-05,8
2018-11-06,8
2018-11-07,8
2018-11-08,8
2018-11-09,8
2018-11-10,8
2018-11-11,10
2018-11-12,10
2018-11-13,10
2018-11-14,10
2018-11-15,10
2018-11-16,10
2018-11-17,10
2018-11-18,14
2018-11-19,14
2018-11-20,14
2018-11-21,14
2018-11-22,14
2018-11-23,14
2018-11-24,14
2018-11-25,13
2018-11-26,13
2018-11-27,13
2018-11-28,13
2018-11-29,13
2018-11-30,13
2018-12-01,13
2018-12-02,11
2018-12-03,11
2018-12-04,11
2018-12-05,11
2018-12-06,11
2018-12-07,11
2018-12-08,11
2018-12-09,10
2018-12-10,10
2018-12-11,10
2018-12-12,10
2018-12-13,10
2018-12-14,10
2018-12-15,10
2018-12-16,11
2018-12-17,11
2018-12-18,11
2018-12-19,11
2018-12-20,11
2018-12-21,11
2018-12-22,11
2018-12-23,10
2018-12-24,10
2018-12-25,10
2018-12-26,10
2018-12-27,10
2018-12-28,10
2018-12-29,10
2018-12-30,9
2018-12-31,9
2019-01-01,9
2019-01-02,9
2019-01-03,9
2019-01-04,9
2019-01-05,9
2019-01-06,8
2019-01-07,8
2019-01-08,8
2019-01-09,8
2019-01-10,8
2019-01-11,8
2019-01-12,8
2019-01-13,8
2019-01-14,8
2019-01-15,8
2019-01-16,8
2019-01-17,8
2019-01-18,8
2019-01-19,8
2019-01-20,7
2019-01-21,7
2019-01-22,7
2019-01-23,7
2019-01-24,7
2019-01-25,7
2019-01-26,7
2019-01-27,7
2019-01-28,7
2019-01-29,7
2019-01-30,7
2019-01-31,7
2019-02-01,7
2019-02-02,7
2019-02-03,8
2019-02-04,8
2019-02-05,8
2019-02-06,8
2019-02-07,8
2019-02-08,8
2019-02-09,8
2019-02-10,7
2019-02-11,7
2019-02-12,7
2019-02-13,7
2019-02-14,7
2019-02-15,7
2019-02-16,7
2019-02-17,8
2019-02-18,8
2019-02-19,8
2019-02-20,8
2019-02-21,8
2019-02-22,8
2019-02-23,8
2019-02-24,8
2019-02-25,8
2019-02-26,8
2019-02-27,8
2019-02-28,8
2019-03-01,8
2019-03-02,8
2019-03-03,7
2019-03-04,7
2019-03-05,7
2019-03-06,7
2019-03-07,7
2019-03-08,7
2019-03-09,7
2019-03-10,6
2019-03-11,6
2019-03-12,6
2019-03-13,6
2019-03-14,6
2019-03-15,6
2019-03-16,6
2019-03-17,7
2019-03-18,7
2019-03-19,7
2019-03-20,7
2019-03-21,7
2019-03-22,7
2019-03-23,7
2019-03-24,7
2019-03-25,7
2019-03-26,7
2019-03-27,7
2019-03-28,7
2019-03-29,7
2019-03-30,7
2019-03-31,12
2019-04-01,12
2019-04-02,12
2019-04-03,12
2019-04-04,12
2019-04-05,12
2019-04-06,12
2019-04-07,10
2019-04-08,10
2019-04-09,10
2019-04-10,10
2019-04-11,10
2019-04-12,10
2019-04-13,10
2019-04-14,8
2019-04-15,8
2019-04-16,8
2019-04-17,8
2019-04-18,8
2019-04-19,8
2019-04-20,8
2019-04-21,9
2019-04-22,9
2019-04-23,9
2019-04-24,9
2019-04-25,9
2019-04-26,9
2019-04-27,9
2019-04-28,8
2019-04-29,8
2019-04-30,8
2019-05-01,8
2019-05-02,8
2019-05-03,8
2019-05-04,8
2019-05-05,12
2019-05-06,12
2019-05-07,12
2019-05-08,12
2019-05-09,12
2019-05-10,12
2019-05-11,12
2019-05-12,18
2019-05-13,18
2019-05-14,18
2019-05-15,18
2019-05-16,18
2019-05-17,18
2019-05-18,18
2019-05-19,13
2019-05-20,13
2019-05-21,13
2019-05-22,13
2019-05-23,13
2019-05-24,13
2019-05-25,13
2019-05-26,14
2019-05-27,14
2019-05-28,14
2019-05-29,14
2019-05-30,14
2019-05-31,14
2019-06-01,14
2019-06-02,12
2019-06-03,12
2019-06-04,12
2019-06-05,12
2019-06-06,12
2019-06-07,12
2019-06-08,12
2019-06-09,11
2019-06-10,11
2019-06-11,11
2019-06-12,11
2019-06-13,11
2019-06-14,11
2019-06-15,11
2019-06-16,17
2019-06-17,17
2019-06-18,17
2019-06-19,17
2019-06-20,17
2019-06-21,17
2019-06-22,17
2019-06-23,25
2019-06-24,25
2019-06-25,25
2019-06-26,25
2019-06-27,25
2019-06-28,25
2019-06-29,25
2019-06-30,17
2019-07-01,17
2019-07-02,17
2019-07-03,17
2019-07-04,17
2019-07-05,17
2019-07-06,17
2019-07-07,16
2019-07-08,16
2019-07-09,16
2019-07-10,16
2019-07-11,16
2019-07-12,16
2019-07-13,16
2019-07-14,16
2019-07-15,16
2019-07-16,16
2019-07-17,16
2019-07-18,16
2019-07-19,16
2019-07-20,16
2019-07-21,13
2019-07-22,13
2019-07-23,13
2019-07-24,13
2019-07-25,13
2019-07-26,13
2019-07-27,13
2019-07-28,12
2019-07-29,12
2019-07-30,12
2019-07-31,12
2019-08-01,12
2019-08-02,12
2019-08-03,12
2019-08-04,14
2019-08-05,14
2019-08-06,14
2019-08-07,14
2019-08-08,14
2019-08-09,14
2019-08-10,14
2019-08-11,13
2019-08-12,13
2019-08-13,13
2019-08-14,13
2019-08-15,13
2019-08-16,13
2019-08-17,13
2019-08-18,12
2019-08-19,12
2019-08-20,12
2019-08-21,12
2019-08-22,12
2019-08-23,12
2019-08-24,12
2019-08-25,11
2019-08-26,11
2019-08-27,11
2019-08-28,11
2019-08-29,11
2019-08-30,11
2019-08-31,11
2019-09-01,11
2019-09-02,11
2019-09-03,11
2019-09-04,11
2019-09-05,11
2019-09-06,11
2019-09-07,11
2019-09-08,9
2019-09-09,9
2019-09-10,9
2019-09-11,9
2019-09-12,9
2019-09-13,9
2019-09-14,9
2019-09-15,9
2019-09-16,9
2019-09-17,9
2019-09-18,9
2019-09-19,9
2019-09-20,9
2019-09-21,9
2019-09-22,12
2019-09-23,12
2019-09-24,12
2019-09-25,12
2019-09-26,12
2019-09-27,12
2019-09-28,12
2019-09-29,10
2019-09-30,10
2019-10-01,10
2019-10-02,10
2019-10-03,10
2019-10-04,10
2019-10-05,10
2019-10-06,9
2019-10-07,9
2019-10-08,9
2019-10-09,9
2019-10-10,9
2019-10-11,9
2019-10-12,9
2019-10-13,9
2019-10-14,9
2019-10-15,9
2019-10-16,9
2019-10-17,9
2019-10-18,9
2019-10-19,9
2019-10-20,10
2019-10-21,10
2019-10-22,10
2019-10-23,10
2019-10-24,10
2019-10-25,10
2019-10-26,10
2019-10-27,10
2019-10-28,10
2019-10-29,10
2019-10-30,10
2019-10-31,10
2019-11-01,10
2019-11-02,10
2019-11-03,9
2019-11-04,9
2019-11-05,9
2019-11-06,9
2019-11-07,9
2019-11-08,9
2019-11-09,9
2019-11-10,9
2019-11-11,9
2019-11-12,9
2019-11-13,9
2019-11-14,9
2019-11-15,9
2019-11-16,9
2019-11-17,9
2019-11-18,9
2019-11-19,9
2019-11-20,9
2019-11-21,9
2019-11-22,9
2019-11-23,9
2019-11-24,10
2019-11-25,10
2019-11-26,10
2019-11-27,10
2019-11-28,10
2019-11-29,10
2019-11-30,10
2019-12-01,9
2019-12-02,9
2019-12-03,9
2019-12-04,9
2019-12-05,9
2019-12-06,9
2019-12-07,9
2019-12-08,8
2019-12-09,8
2019-12-10,8
2019-12-11,8
2019-12-12,8
2019-12-13,8
2019-12-14,8
2019-12-15,9
2019-12-16,9
2019-12-17,9
2019-12-18,9
2019-12-19,9
2019-12-20,9
2019-12-21,9
2019-12-22,9
2019-12-23,9
2019-12-24,9
2019-12-25,9
2019-12-26,9
2019-12-27,9
2019-12-28,9
2019-12-29,9
2019-12-30,9
2019-12-31,9
2020-01-01,9
2020-01-02,9
2020-01-03,9
2020-01-04,9
2020-01-05,11
2020-01-06,11
2020-01-07,11
2020-01-08,11
2020-01-09,11
2020-01-10,11
2020-01-11,11
2020-01-12,10
2020-01-13,10
2020-01-14,10
2020-01-15,10
2020-01-16,10
2020-01-17,10
2020-01-18,10
2020-01-19,10
2020-01-20,10
2020-01-21,10
2020-01-22,10
2020-01-23,10
2020-01-24,10
2020-01-25,10
2020-01-26,10
2020-01-27,10
2020-01-28,10
2020-01-29,10
2020-01-30,10
2020-01-31,10
2020-02-01,10
2020-02-02,10
2020-02-03,10
2020-02-04,10
2020-02-05,10
2020-02-06,10
2020-02-07,10
2020-02-08,10
2020-02-09,12
2020-02-10,12
2020-02-11,12
2020-02-12,12
2020-02-13,12
2020-02-14,12
2020-02-15,12
2020-02-16,11
2020-02-17,11
2020-02-18,11
2020-02-19,11
2020-02-20,11
2020-02-21,11
2020-02-22,11
2020-02-23,11
2020-02-24,11
2020-02-25,11
2020-02-26,11
2020-02-27,11
2020-02-28,11
2020-02-29,11
2020-03-01,10
2020-03-02,10
2020-03-03,10
2020-03-04,10
2020-03-05,10
2020-03-06,10
2020-03-07,10
2020-03-08,19
2020-03-09,19
2020-03-10,19
2020-03-11,19
2020-03-12,19
2020-03-13,19
2020-03-14,19
2020-03-15,19
2020-03-16,19
2020-03-17,19
2020-03-18,19
2020-03-19,19
2020-03-20,19
2020-03-21,19
2020-03-22,14
2020-03-23,14
2020-03-24,14
2020-03-25,14
2020-03-26,14
2020-03-27,14
2020-03-28,14
2020-03-29,12
2020-03-30,12
2020-03-31,12
2020-04-01,12
2020-04-02,12
2020-04-03,12
2020-04-04,12
2020-04-05,13
2020-04-06,13
2020-04-07,13
2020-04-08,13
2020-04-09,13
2020-04-10,13
2020-04-11,13
2020-04-12,12
2020-04-13,12
2020-04-14,12
2020-04-15,12
2020-04-16,12
2020-04-17,12
2020-04-18,12
2020-04-19,12
2020-04-20,12
2020-04-21,12
2020-04-22,12
2020-04-23,12
2020-04-24,12
2020-04-25,12
2020-04-26,16
2020-04-27,16
2020-04-28,16
2020-04-29,16
2020-04-30,16
2020-05-01,16
2020-05-02,16
2020-05-03,17
2020-05-04,17
2020-05-05,17
2020-05-06,17
2020-05-07,17
2020-05-08,17
2020-05-09,17
2020-05-10,21
2020-05-11,21
2020-05-12,21
2020-05-13,21
2020-05-14,21
2020-05-15,21
2020-05-16,21
2020-05-17,14
2020-05-18,14
2020-05-19,14
2020-05-20,14
2020-05-21,14
2020-05-22,14
2020-05-23,14
2020-05-24,12
2020-05-25,12
2020-05-26,12
2020-05-27,12
2020-05-28,12
2020-05-29,12
2020-05-30,12
2020-05-31,12
2020-06-01,12
2020-06-02,12
2020-06-03,12
2020-06-04,12
2020-06-05,12
2020-06-06,12
2020-06-07,11
2020-06-08,11
2020-06-09,11
2020-06-10,11
2020-06-11,11
2020-06-12,11
2020-06-13,11
2020-06-14,10
2020-06-15,10
2020-06-16,10
2020-06-17,10
2020-06-18,10
2020-06-19,10
2020-06-20,10
2020-06-21,10
2020-06-22,10
2020-06-23,10
2020-06-24,10
2020-06-25,10
2020-06-26,10
2020-06-27,10
2020-06-28,10
2020-06-29,10
2020-06-30,10
2020-07-01,10
2020-07-02,10
2020-07-03,10
2020-07-04,10
2020-07-05,10
2020-07-06,10
2020-07-07,10
2020-07-08,10
2020-07-09,10
2020-07-10,10
2020-07-11,10
2020-07-12,11
2020-07-13,11
2020-07-14,11
2020-07-15,11
2020-07-16,11
2020-07-17,11
2020-07-18,11
2020-07-19,10
2020-07-20,10
2020-07-21,10
2020-07-22,10
2020-07-23,10
2020-07-24,10
2020-07-25,10
2020-07-26,16
2020-07-27,16
2020-07-28,16
2020-07-29,16
2020-07-30,16
2020-07-31,16
2020-08-01,16
2020-08-02,14
2020-08-03,14
2020-08-04,14
2020-08-05,14
2020-08-06,14
2020-08-07,14
2020-08-08,14
2020-08-09,13
2020-08-10,13
2020-08-11,13
2020-08-12,13
2020-08-13,13
2020-08-14,13
2020-08-15,13
2020-08-16,12
2020-08-17,12
2020-08-18,12
2020-08-19,12
2020-08-20,12
2020-08-21,12
2020-08-22,12
2020-08-23,11
2020-08-24,11
2020-08-25,11
2020-08-26,11
2020-08-27,11
2020-08-28,11
2020-08-29,11
2020-08-30,11
2020-08-31,11
2020-09-01,11
2020-09-02,11
2020-09-03,11
2020-09-04,11
2020-09-05,11
2020-09-06,11
2020-09-07,11
2020-09-08,11
2020-09-09,11
2020-09-10,11
2020-09-11,11
2020-09-12,11
2020-09-13,9
2020-09-14,9
2020-09-15,9
2020-09-16,9
2020-09-17,9
2020-09-18,9
2020-09-19,9
2020-09-20,9
2020-09-21,9
2020-09-22,9
2020-09-23,9
2020-09-24,9
2020-09-25,9
2020-09-26,9
2020-09-27,8
2020-09-28,8
2020-09-29,8
2020-09-30,8
2020-10-01,8
2020-10-02,8
2020-10-03,8
2020-10-04,8
2020-10-05,8
2020-10-06,8
2020-10-07,8
2020-10-08,8
2020-10-09,8
2020-10-10,8
2020-10-11,9
2020-10-12,9
2020-10-13,9
2020-10-14,9
2020-10-15,9
2020-10-16,9
2020-10-17,9
2020-10-18,13
2020-10-19,13
2020-10-20,13
2020-10-21,13
2020-10-22,13
2020-10-23,13
2020-10-24,13
2020-10-25,14
2020-10-26,14
2020-10-27,14
2020-10-28,14
2020-10-29,14
2020-10-30,14
2020-10-31,14
2020-11-01,15
2020-11-02,15
2020-11-03,15
2020-11-04,15
2020-11-05,15
2020-11-06,15
2020-11-07,15
2020-11-08,15
2020-11-09,15
2020-11-10,15
2020-11-11,15
2020-11-12,15
2020-11-13,15
2020-11-14,15
2020-11-15,22
2020-11-16,22
2020-11-17,22
2020-11-18,22
2020-11-19,22
2020-11-20,22